"","ETBL_ID","ETBL_NOM_FR","ADR_CIVIQUE","ADR_MUNICIPALITE","ADR_CODE_POSTAL","ADR_LATITUDE","ADR_LONGITUDE"
"1519",1148166,"MAISON DU FORT","21, av. Ste-Geneviève","Québec","G1R4B1",46.810155,-71.206441
"1520",1148232,"HÔTEL UNIVERSEL","1000, boul. des Cascades","Alma","G8B3G4",48.5502301,-71.6534065
"1521",1148320,"AUBERGE DES BERGES","610, boul. du Sacré-Coeur","Saint-Félicien","G8K1T5",48.642976,-72.401204
"1522",1148529,"MOTEL L'ABRI","360, boul. Perron","Carleton-sur-Mer","G0C1J0",48.111027,-66.144422
"1523",1148606,"HÔTEL-MOTEL DE LA MONTAGNE","169, rue Varin","Saint-Pascal","G0L3Y0",47.532299,-69.821033
"1524",1148835,"AUBERGE CHEMIN DU ROY","106, rue St-Laurent","Deschambault-Grondines","G0A1S0",46.640135,-71.952518
"1525",1148976,"AUBERGE CAFÉ BISTRO LA MARMITE","1090, rue Richelieu","La Malbaie","G5A2X3",47.635556,-70.143087
"1526",1149098,"ABRICAFÉ "" LE MOTEL ""","2672, boul. Talbot","Stoneham-et-Tewkesbury","G3C1J5",46.973152,-71.368575
"1527",1149159,"MOTEL BLEU BLANC ROUGE","104, rte 132 O.","Percé","G0C2L0",48.526543,-64.212965
"1528",1149212,"MOTEL AIGLE D'OR","3954, boul. Ste-Anne","Québec","G1E3M5",46.8545992,-71.1914103
"1529",1149284,"MOTEL DE L'ÉNERGIE "" MANICOUAGAN V ""","Km 211, rte Trans-Québec-Labrador (389)","Rivière-aux-Outardes","G5C2T2",50.625945,-68.716564
"1530",1149420,"AUBERGE PLACE D'ARMES","24, rue Ste-Anne","Québec","G1R3X3",46.813088,-71.206389
"1531",1149688,"MOTEL DE L'AVENUE DU PONT","820, av. du Pont S.","Alma","G8B2V8",48.537827,-71.647098
"1532",1149749,"LE BONNE ENTENTE","3400, ch. Ste-Foy","Québec","G1X1S6",46.768068,-71.323618
