ETBL_ID;ETBL_TYPE_GENRE;ETBL_TYPE_ID;ETBL_TYPE_FR;ETBL_TYPE_EN;ETBL_TYPE_GRP_ID;ETBL_TYPE_GRP_FR;ETBL_TYPE_GRP_EN;ETBL_TYPE_CATG_ID;ETBL_TYPE_CATG_FR;ETBL_TYPE_CATG_EN
869028;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
869169;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
869238;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
869367;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
869505;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
869624;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
869667;principal;241055221;Autre hébergement;Other accommodation;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
869730;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
869791;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
869861;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
869968;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
870098;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
870172;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
870375;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
870511;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
870586;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
870742;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
871033;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
871111;principal;241055221;Autre hébergement;Other accommodation;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
871173;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
